Type,Subtype,Indel_size,Repeat_MH_size,ID-E-1,ID-E-2,ID-E-3,ID-E-4,ID-E-5,ID-E-6
DEL,C,1,0,0.001297799,0.001894061,0.132434369,0.013553539,0.015279267,0.009816075
DEL,C,1,1,0.0000751,0.000668471,0.206509714,0.002783332,1E-17,0.001175633
DEL,C,1,2,0.003976766,0.001434562,0.144868063,0.002082885,0.000499495,0.010450839
DEL,C,1,3,0.001659297,0.014230522,0.058685923,0.008789,0.001610915,0.062161155
DEL,C,1,4,0.000205031,0.044956635,0.012796374,0.000910375,0.00370976,0.164350125
DEL,C,1,5+,1E-17,0.136532992,1E-17,1E-17,1E-17,0.408264201
DEL,T,1,0,0.000447751,0.000431457,0.058724601,0.023534371,0.011823298,0.000307032
DEL,T,1,1,0.000207772,0.000915105,0.044690473,0.032748444,0.01437186,0.001732455
DEL,T,1,2,0.00588847,0.000218803,0.018791866,0.011139308,0.00225953,0.000342388
DEL,T,1,3,0.00727395,0.012046262,0.000745923,0.003785194,0.002360802,0.015087234
DEL,T,1,4,0.015343077,0.029680834,1E-17,1E-17,1E-17,0.046540365
DEL,T,1,5+,1E-17,0.583566451,1E-17,1E-17,1E-17,0
INS,C,1,0,0.015263988,0.000052,0.009482055,0.00575295,0.000144549,0.000141097
INS,C,1,1,1E-17,0.00020997,0.016270958,0.007945994,0.00208423,0.000635433
INS,C,1,2,0.000764645,0.0000393,0.012069326,0.004056796,0.001358557,0.000135713
INS,C,1,3,0.001903138,0.000651736,0.005708182,0.000100329,0.00149808,0.00269533
INS,C,1,4,0.005071365,0.006513413,0.001495083,0.00010769,0.002292412,0.019037368
INS,C,1,5+,0.062411313,0.03406582,1E-17,1E-17,1E-17,0.071321291
INS,T,1,0,0.001431216,0.000723199,0.039254325,1E-17,1E-17,0.00100938
INS,T,1,1,1E-17,0.000248612,0.068210066,0.015095422,0.005543395,0.000538745
INS,T,1,2,0.007647152,0.002470482,0.028420591,0.008933974,0.002734013,0.007956821
INS,T,1,3,0.008962787,0.000375787,0.024241848,0.009931821,0.002365323,0.000480711
INS,T,1,4,0.032904659,0.001288066,0.003580541,0.000133402,1E-17,0.004248636
INS,T,1,5+,0.797667514,0.057910546,1E-17,1E-17,1E-17,0.004158436
DEL,repeats,2,0,0.001088465,0.001522188,0.009589193,0.047052433,0.008798855,0.002257021
DEL,repeats,2,1,0.000630843,0.00475793,1E-17,0.182014523,1E-17,0.005224549
DEL,repeats,2,2,0.0000225,0.003349413,0.005995672,0.031584329,0.000887099,0.005991109
DEL,repeats,2,3,0.000677853,0.009341985,0.00076444,0.004076484,1E-17,0.032668877
DEL,repeats,2,4,0.000293443,0.006073032,1E-17,2E-17,1E-17,0.006262924
DEL,repeats,2,5+,1E-17,0.004198169,0.0000474,0.000922029,1E-17,0.011210184
DEL,repeats,3,0,1E-17,0.0000266,0.002006685,0.006637689,0.007688426,0.000416741
DEL,repeats,3,1,0.000312761,0.008123355,0.00090916,0.116958107,0.002557008,0.033449206
DEL,repeats,3,2,0.000113369,0.003404844,1E-17,0.037604136,1E-17,0.018426026
DEL,repeats,3,3,0.000299536,0.002190691,1E-17,0.004237403,1E-17,0.004537421
DEL,repeats,3,4,1E-17,0.000887773,1E-17,0.00031628,0.00014158,0.002903344
DEL,repeats,3,5+,1E-17,0.000785007,1E-17,1E-17,1E-17,0.003147814
DEL,repeats,4,0,0.00010699,0.00000826,0.007868875,0.002915158,0.005565204,0
DEL,repeats,4,1,0.000184524,0.00142866,0.001466313,0.048618166,1E-17,0.002501536
DEL,repeats,4,2,0.000364921,0.000212362,0.0000739,0.005280895,1E-17,0.00113065
DEL,repeats,4,3,1E-17,0.00038152,1E-17,0.000244092,1E-17,0.00031585
DEL,repeats,4,4,1E-17,0.0000322,1E-17,0.000134638,1E-17,0.000125221
DEL,repeats,4,5+,0.0000982,0.000127126,1E-17,1E-17,1E-17,0.000577253
DEL,repeats,5+,0,1E-17,0,0.027048341,0.008746233,0.154443886,0
DEL,repeats,5+,1,0.000568065,0.001013323,0.00223904,0.004331077,0.000596084,0.002118847
DEL,repeats,5+,2,1E-17,0.000413268,0.000342682,0.000418737,1E-17,0
DEL,repeats,5+,3,0.000245572,0.0000474,0.000293675,0.000194359,1E-17,0.000116891
DEL,repeats,5+,4,1E-17,0,1E-17,1E-17,1E-17,0
DEL,repeats,5+,5+,1E-17,0,1E-17,1E-17,1E-17,0
INS,repeats,2,0,0.00113211,0.00000132,0.004837581,0.005238903,0.0000774,0
INS,repeats,2,1,0.001296906,0.0000927,0.001302221,0.000649083,0.00395928,0
INS,repeats,2,2,1E-17,0.0000143,0.001462298,0.002626872,0.00057023,0.000206646
INS,repeats,2,3,0.0011488,0.001055323,1E-17,0.000166892,1E-17,0.002395251
INS,repeats,2,4,0.002661972,0.002860104,1E-17,1E-17,0.000685678,0.002071371
INS,repeats,2,5+,0.003906223,0.006982195,0.000284907,1E-17,1E-17,0.003134402
INS,repeats,3,0,1E-17,0,0.000471739,0.000919527,0.003113523,0
INS,repeats,3,1,1E-17,0.0000339,0.008591135,0.004169127,0.0000805,0.000225524
INS,repeats,3,2,0.000459665,0.00034264,0.000653229,1E-17,1E-17,0.0000651
INS,repeats,3,3,0.0000785,0.0000791,1E-17,1E-17,1E-17,0.000457288
INS,repeats,3,4,0.000418952,0.0000864,1E-17,1E-17,0.001867022,0.0000252
INS,repeats,3,5+,0.001316394,0.00061104,1E-17,0.00020077,1E-17,0.00295877
INS,repeats,4,0,0.000837616,0.0000477,0.000463964,0.002918242,0.000810765,0.0000753
INS,repeats,4,1,0.000548315,0.000119306,0.000742186,0.013982944,0.00366294,0.000164485
INS,repeats,4,2,1E-17,0.0000851,0.000625806,0.000122815,0.001703474,0.0000274
INS,repeats,4,3,0.0000789,0.0000358,1E-17,3E-17,1E-17,0
INS,repeats,4,4,0.000109893,0,1E-17,1E-17,1E-17,0
INS,repeats,4,5+,0.000241548,0.00000483,1E-17,1E-17,1E-17,0
INS,repeats,5+,0,0.000621154,0.0000209,0.002425565,0.001186352,0.003337635,0.0000488
INS,repeats,5+,1,0.005945557,0.0000979,0.009807119,0.020363041,0.025478878,0.0000316
INS,repeats,5+,2,1E-17,0,1E-17,1E-17,1E-17,0
INS,repeats,5+,3,1E-17,0,1E-17,1E-17,1E-17,0
INS,repeats,5+,4,1E-17,0,1E-17,1E-17,1E-17,0
INS,repeats,5+,5+,1E-17,0,1E-17,1E-17,1E-17,1E-17
DEL,MH,2,1,1E-17,0.001973715,1E-17,0.149246534,1E-17,0.006371506
DEL,MH,3,1,0.0000711,0.000194116,0.001786107,0.01138416,0.006205648,0.000477525
DEL,MH,3,2,0.000198782,0.003031458,0.0009509,0.063878356,0.003173637,0.011000904
DEL,MH,4,1,1E-17,0.00000436,1E-17,0.011126175,0.008249806,0
DEL,MH,4,2,0.002029091,0.001100941,0.006704782,0.009584279,0.007707698,0.002195608
DEL,MH,4,3,0.001207228,0.000695587,0.001207786,0.033355632,0.000779779,0.000585287
DEL,MH,5+,1,0.000191322,0,0.007972109,0.011227665,0.163835098,0
DEL,MH,5+,2,0.0000574,0.000118861,1E-17,0.0000554,0.229569193,0.0000684
DEL,MH,5+,3,0.0000327,0,1E-17,1E-17,0.150864407,0
DEL,MH,5+,4,1E-17,0.000228259,0.002079003,0.002355471,0.063356972,0.000774898
DEL,MH,5+,5+,1E-17,0.000631992,0.002005924,0.001570215,0.070296818,0.00067089
