Type,Subtype,Indel_size,Repeat_MH_size,W.3 (BI_ID1_P 0.9706) (BI_ID14_P 0.0854) (BI_ID21_S 0.0487) (BI_ID25_S 0.2005),W.1 (BI_ID2_P 0.9423) (BI_ID7_S 0.2816) (BI_ID12_P 0.0184) (BI_ID22_S 0.0306) (BI_ID26_S 0.2479),W.4 (BI_ID4_P 0.7213) (BI_ID19_S 0.2615) (BI_ID20_S 0.4564) (BI_ID23_S 0.0397) (BI_ID27_S 0.0741) (BI_ID29_S 0.6111),W.2 (BI_ID6_P 0.6706) (BI_ID3_P 0.5684) (BI_ID5_P 0.5597) (BI_ID8_P 0.6296) (BI_ID9_P 0.4009) (BI_ID10_P 0.1424) (BI_ID11_P 0.2544) (BI_ID13_S 0.3235) (BI_ID18_S 0.1135) (BI_ID24_S 0.1964) (BI_ID28_S 0.1183) (BI_ID30_S 0.1196) (BI_ID31_P 0.0315) (BI_ID32_S 0.1289)
DEL,C,1,0,2.38736237623113e-99,0.00309157817645227,0,0.0618487426435211
DEL,C,1,1,3.60407554303908e-238,0.00141840635537276,0,0.0671630590060641
DEL,C,1,2,1.66880836369645e-308,0.00287919411563126,0,0.0372105652163488
DEL,C,1,3,1.07872151316641e-233,0.0140866802986981,0,0.0243516577790324
DEL,C,1,4,0,0.0468964464359435,0,0.0130858270930115
DEL,C,1,5+,0,0.123775158214507,0,0
DEL,T,1,0,7.8362127697107e-274,0.0009843412848976,0,0.0475258627165179
DEL,T,1,1,3.72339978131062e-290,0.00126221413425193,0,0.0405983386534559
DEL,T,1,2,3.28391992081942e-239,0.00410719941662769,0,0.0318328746167857
DEL,T,1,3,4.33642577554154e-124,0.0222757395377302,0,0.0240038107541717
DEL,T,1,4,1.35147609775343e-291,0.0435882584600728,0,0.010730738251989
DEL,T,1,5+,0,0.474624742387648,0,0
INS,C,1,0,0.0543835859284718,0.000467966089555,0,8.63081418456487e-155
INS,C,1,1,9.86636137933634e-122,0.000317907142973556,0,0.0106560182940549
INS,C,1,2,2.74183591128716e-153,0.000244753603486018,0,0.00845472463500273
INS,C,1,3,2.56913581399005e-51,0.00108510978436419,0,0.00575420746036354
INS,C,1,4,0.00341801200137475,0.0067339243071697,0,0.00458157139382863
INS,C,1,5+,0.132467128014499,0.0424430534167249,0,4.42696903574389e-149
INS,T,1,0,5.58634370042521e-29,0.000977188563562174,0,0.0120798286521619
INS,T,1,1,1.19307623427819e-112,0.00102566091179369,0,0.0462101411684443
INS,T,1,2,6.13560379445644e-137,0.00450854140146735,0,0.0197917021646617
INS,T,1,3,8.35003312387331e-05,0.00185994938686704,0,0.0126406490838962
INS,T,1,4,0.0434415143944275,0.00524490849020061,0,1.71273536948942e-67
INS,T,1,5+,0.622600220090272,0.121761407291806,0,3.06956071698322e-236
DEL,repeats,2,0,7.56834437310117e-123,0.00149847442078866,0,0.0218540767023595
DEL,repeats,2,1,0,0.00540018305117047,0.360006962038455,4.98958984636549e-65
DEL,repeats,2,2,1.94966711022362e-71,0.00317257640358879,2.72968302197877e-196,0.0100445275031331
DEL,repeats,2,3,0,0.01055788102379,0,1.59300765561727e-73
DEL,repeats,2,4,0,0.00563886827406965,0,0
DEL,repeats,2,5+,0,0.00391921341034628,0,0
DEL,repeats,3,0,1.18409646797775e-59,0.000282427092376278,8.75153654956726e-247,0.00831303230818405
DEL,repeats,3,1,3.56896301485163e-265,0.0101153124077933,0.333357896348229,1.71524476606985e-74
DEL,repeats,3,2,1.15322325172609e-241,0.00424212723283755,0.101849807272977,6.77535977991141e-122
DEL,repeats,3,3,0.0057570389524232,0.00173782170726983,1.756951074171e-107,4.71900320183658e-133
DEL,repeats,3,4,0,0.000817948245111375,0,0.000623612173325107
DEL,repeats,3,5+,0.000295786852779754,0.000706778368113438,0,0.000180717489046069
DEL,repeats,4,0,1.1853345974705e-177,4.45986671111195e-05,1.98490566486007e-262,0.0076525086692223
DEL,repeats,4,1,0,0.00202500708828239,0.174891589694636,1.29623909414186e-123
DEL,repeats,4,2,9.4049105924433e-264,0.000273880462518714,0.0159981929257149,1.46739011020857e-244
DEL,repeats,4,3,1.0259475350176e-204,0.000269713014968271,0,9.16260771422284e-05
DEL,repeats,4,4,0,3.96492161945019e-05,0.000842503807158655,0
DEL,repeats,4,5+,0,0.000119975920724886,0,0
DEL,repeats,5+,0,2.05032734482316e-288,0,0,0.0860211098246304
DEL,repeats,5+,1,0.00552711097393918,0.000899260677648841,0.00421569009152524,0.00427423479384607
DEL,repeats,5+,2,0,0.000250480312600312,0,0.000710402701182959
DEL,repeats,5+,3,0.00123920417140641,9.75214485726224e-05,0,0
DEL,repeats,5+,4,0,0,0.000835344359428891,0
DEL,repeats,5+,5+,0,0,0,0
INS,repeats,2,0,0.00842655219114958,0.000161166435786816,0,0.0050891889266941
INS,repeats,2,1,0.0119403273678194,0.00018004853649539,0,0.0062878852937776
INS,repeats,2,2,7.49461979013525e-30,0.000144402052780908,0,0.00345756883311726
INS,repeats,2,3,1.66881159038334e-308,0.00121658386693597,0.00716666910244627,1.31081499286731e-278
INS,repeats,2,4,2.04297892751294e-173,0.00263524689510842,1.9789198965934e-170,0.000299549378133595
INS,repeats,2,5+,0.00747013643002617,0.0059400405391945,0,3.01915832873083e-65
INS,repeats,3,0,0.00241071385820062,0,0,0.00314255069783437
INS,repeats,3,1,1.72494829339582e-125,2.59626957459679e-05,1.41087149582548e-195,0.00651913077254536
INS,repeats,3,2,1.67738751349155e-199,0.000175087562827677,0,0.00106683193795811
INS,repeats,3,3,0,0.000159840672412227,0.000835344359428891,0.000219115333828392
INS,repeats,3,4,1.66880539388042e-308,0.000212920517120174,0,0.000851887606538975
INS,repeats,3,5+,0.00499798637795009,0.00110520939827696,0,0
INS,repeats,4,0,0.00491181900456956,8.95960688369005e-05,0,0.00106837446814608
INS,repeats,4,1,0.00469223176276792,0.000200185531765102,0,0.0074788301193217
INS,repeats,4,2,7.92323838573171e-38,4.39407631048048e-05,0,0.00050352339523205
INS,repeats,4,3,0.000674101868232937,4.24966835281048e-05,0,0
INS,repeats,4,4,7.64741923424599e-61,3.80321704014042e-05,0,0.00022245868231621
INS,repeats,4,5+,0.000900966824536005,5.64134827275392e-05,0,0
INS,repeats,5+,0,2.82687677434329e-131,1.438154425725e-12,0,0.00547208077502454
INS,repeats,5+,1,0.00658252479459744,0.000368354114946412,9.92447926679011e-252,0.0276763655339055
INS,repeats,5+,2,0.00399482280938256,0,1.41116523445932e-178,0.000475624055459485
INS,repeats,5+,3,0.00104384084342756,0,0,0
INS,repeats,5+,4,4.15255630462268e-192,0,0,0.000145922154070621
INS,repeats,5+,5+,0,0,0,0
DEL,MH,2,1,0.00382943284663768,0.00286600133922892,1.66880539388041e-308,0.0241459464561475
DEL,MH,3,1,7.17502977304366e-25,0.000237752962888295,0,0.00992671809547904
DEL,MH,3,2,0.00770700697247935,0.00341931857061207,2.91725420880155e-226,0.0142529413450781
DEL,MH,4,1,0,3.14997222283647e-05,0,0.00658199013717153
DEL,MH,4,2,0.0113471642473328,0.00111143226558441,3.08207076102825e-302,0.00704781030794088
DEL,MH,4,3,0.0498572700900578,0.00122815903253343,0,1.78255282496757e-57
DEL,MH,5+,1,0,8.14635131769506e-208,0,0.0796005350455243
DEL,MH,5+,2,0,2.13877849455037e-11,0,0.071501855455585
DEL,MH,5+,3,0,0,0,0.0463302839174223
DEL,MH,5+,4,1.66880615130133e-308,0.000192231785179882,0,0.0249667874061235
DEL,MH,5+,5+,1.92315022470431e-99,0.000348048657243323,0,0.0273820760442401
